judge	satnorm	weighting	target	metric	n_prompts	core	rand	best_ho	best_in	top_w	top_pop	full	target_reliab	delta_core	ci_lo	ci_hi	eta	eta_lo	eta_hi	eta_in	eta_topw	core_minus_topw	cmt_lo	cmt_hi	core_minus_reliab	cmr_lo	cmr_hi	retention	effect_over_floor	p	bh_survives	K5_admissible
phi	raw	signed	intrinsic	tau_b	966	0.5491	0.5009	0.5480	0.9966	0.5915	0.5807	0.7562	0.5461	0.0481	0.0309	0.0666	1.0499	0.6176	1.6430	0.0971	1.9836	-0.0425	-0.0625	-0.0226	0.0029	-0.0191	0.0245	0.7261	5.23	0.00050	1	1
phi	raw	signed	intrinsic	top1	966	0.5841	0.5725	0.6021	0.9989	0.6275	0.6328	0.7769	0.6014	0.0121	-0.0083	0.0316	0.3968	-0.3586	1.4218	0.0284	1.8850	-0.0428	-0.0654	-0.0208	-0.0167	-0.0412	0.0078	0.7527	1.18	0.23800	0	1
phi	raw	signed	intrinsic	pair	966	0.7746	0.7504	0.7740	0.9983	0.7958	0.7904	0.8781	0.7733	0.0241	0.0149	0.0329	1.0441	0.6115	1.6192	0.0973	1.9681	-0.0211	-0.0314	-0.0115	0.0013	-0.0096	0.0123	0.8821	5.09	0.00050	1	1
phi	raw	signed	personal	tau_b	291	0.2575	0.2102	0.3884	0.5127	0.2625	0.2582	0.2686	-0.1564	0.0469	0.0211	0.0717	0.2630	0.1225	0.4060	0.1547	0.2909	-0.0050	-0.0315	0.0208	0.4131	0.3789	0.4454	0.9591	3.57	0.00050	1	1
phi	raw	signed	personal	top1	291	0.4284	0.4037	0.5474	0.6455	0.4501	0.4275	0.4305	-0.1242	0.0248	-0.0004	0.0496	0.1740	-0.0028	0.3499	0.1028	0.3263	-0.0218	-0.0489	0.0036	0.5528	0.5207	0.5845	0.9955	1.94	0.05600	0	1
phi	raw	signed	personal	pair	291	0.6388	0.6136	0.7100	0.7753	0.6421	0.6393	0.6453	-0.0838	0.0249	0.0109	0.0394	0.2591	0.1139	0.4055	0.1540	0.2951	-0.0035	-0.0174	0.0104	0.7225	0.7042	0.7403	0.9894	3.52	0.00050	1	1
phi	raw	signed	personal	veto	285	0.5997	0.5614	0.6751	0.8133	0.5921	0.5892	0.6074	-0.1696	0.0378	0.0109	0.0645	0.3385	0.0933	0.6136	0.1503	0.2744	0.0072	-0.0243	0.0400	0.7687	0.7270	0.8100	0.9870	2.68	0.00700	1	1
phi	raw	signed	world	tau_b	966	0.2992	0.2313	0.4377	0.5383	0.2894	0.2857	0.3044	-0.1173	0.0679	0.0540	0.0816	0.3289	0.2647	0.3942	0.2211	0.2822	0.0097	-0.0045	0.0237	0.4166	0.3991	0.4339	0.9832	9.71	0.00050	1	1
phi	raw	signed	world	top1	966	0.4855	0.4392	0.6051	0.6811	0.4897	0.4742	0.4888	-0.0847	0.0464	0.0329	0.0608	0.2795	0.1981	0.3631	0.1916	0.3050	-0.0042	-0.0196	0.0108	0.5703	0.5532	0.5877	0.9932	6.61	0.00050	1	1
phi	raw	signed	world	pair	966	0.6623	0.6256	0.7364	0.7908	0.6573	0.6552	0.6650	-0.0640	0.0368	0.0294	0.0442	0.3324	0.2674	0.4004	0.2229	0.2871	0.0050	-0.0029	0.0134	0.7265	0.7170	0.7357	0.9962	9.67	0.00050	1	1
